2024-12-09 15:33:57 - root - INFO: - iter:[43/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.306129 loss_bce: 0.336821 loss_rst: 0.304751 loss_flow: 0.012305 loss_warp: 0.924762
2024-12-09 15:34:00 - root - INFO: - iter:[44/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.333221 loss_bce: 0.363938 loss_rst: 0.342589 loss_flow: 0.013468 loss_warp: 0.913655
2024-12-09 15:34:03 - root - INFO: - iter:[45/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.332080 loss_bce: 0.367210 loss_rst: 0.343024 loss_flow: 0.010974 loss_warp: 0.911487
2024-12-09 15:34:06 - root - INFO: - iter:[46/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.278755 loss_bce: 0.447304 loss_rst: 0.286151 loss_flow: 0.011083 loss_warp: 0.783827
2024-12-09 15:34:09 - root - INFO: - iter:[47/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.319874 loss_bce: 0.365159 loss_rst: 0.318701 loss_flow: 0.011954 loss_warp: 0.915321
2024-12-09 15:34:13 - root - INFO: - iter:[48/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.212481 loss_bce: 0.439490 loss_rst: 0.259253 loss_flow: 0.008482 loss_warp: 0.692562
2024-12-09 15:34:16 - root - INFO: - iter:[49/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.259419 loss_bce: 0.322401 loss_rst: 0.362294 loss_flow: 0.009744 loss_warp: 0.799626
2024-12-09 15:34:19 - root - INFO: - iter:[50/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.287271 loss_bce: 0.451596 loss_rst: 0.307457 loss_flow: 0.008371 loss_warp: 0.783097
2024-12-09 15:34:22 - root - INFO: - iter:[51/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.208287 loss_bce: 0.304019 loss_rst: 0.298480 loss_flow: 0.008187 loss_warp: 0.784866
2024-12-09 15:34:25 - root - INFO: - iter:[52/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.239091 loss_bce: 0.379082 loss_rst: 0.348244 loss_flow: 0.010014 loss_warp: 0.720500
2024-12-09 15:34:28 - root - INFO: - iter:[53/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.157125 loss_bce: 0.296512 loss_rst: 0.289699 loss_flow: 0.006686 loss_warp: 0.704161
2024-12-09 15:34:31 - root - INFO: - iter:[54/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.180064 loss_bce: 0.336090 loss_rst: 0.274826 loss_flow: 0.006728 loss_warp: 0.726155
2024-12-09 15:34:34 - root - INFO: - iter:[55/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.146749 loss_bce: 0.293081 loss_rst: 0.286390 loss_flow: 0.006276 loss_warp: 0.693552
2024-12-09 15:34:37 - root - INFO: - iter:[56/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.306838 loss_bce: 0.552417 loss_rst: 0.302613 loss_flow: 0.009151 loss_warp: 0.732947
2024-12-09 15:34:40 - root - INFO: - iter:[57/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.179169 loss_bce: 0.254618 loss_rst: 0.268741 loss_flow: 0.006630 loss_warp: 0.816150
2024-12-09 15:34:44 - root - INFO: - iter:[58/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.341230 loss_bce: 0.526952 loss_rst: 0.335941 loss_flow: 0.006622 loss_warp: 0.798193
2024-12-09 15:34:47 - root - INFO: - iter:[59/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.168947 loss_bce: 0.373685 loss_rst: 0.281143 loss_flow: 0.008054 loss_warp: 0.665787
2024-12-09 15:34:50 - root - INFO: - iter:[60/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.162494 loss_bce: 0.338096 loss_rst: 0.283485 loss_flow: 0.005698 loss_warp: 0.690012
2024-12-09 15:34:53 - root - INFO: - iter:[61/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.209011 loss_bce: 0.373520 loss_rst: 0.297935 loss_flow: 0.004711 loss_warp: 0.734348
2024-12-09 15:34:56 - root - INFO: - iter:[62/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.212702 loss_bce: 0.330990 loss_rst: 0.324276 loss_flow: 0.006161 loss_warp: 0.757723
2024-12-09 15:34:59 - root - INFO: - iter:[63/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.245670 loss_bce: 0.305580 loss_rst: 0.408106 loss_flow: 0.008665 loss_warp: 0.763215
