2025-01-04 17:14:27 - root - INFO: - iter:[59/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.834509 loss_bce: 0.420044 loss_rst: 0.395646 loss_flow: 0.018819
2025-01-04 17:14:28 - root - INFO: - iter:[60/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.868517 loss_bce: 0.448053 loss_rst: 0.407382 loss_flow: 0.013082
2025-01-04 17:14:29 - root - INFO: - iter:[61/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.716962 loss_bce: 0.328776 loss_rst: 0.372614 loss_flow: 0.015572
2025-01-04 17:14:31 - root - INFO: - iter:[62/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.669005 loss_bce: 0.331616 loss_rst: 0.323214 loss_flow: 0.014175
2025-01-04 17:14:32 - root - INFO: - iter:[63/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.715732 loss_bce: 0.335847 loss_rst: 0.365457 loss_flow: 0.014428
2025-01-04 17:14:33 - root - INFO: - iter:[64/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.768618 loss_bce: 0.320340 loss_rst: 0.426164 loss_flow: 0.022114
2025-01-04 17:14:34 - root - INFO: - iter:[65/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.700506 loss_bce: 0.222472 loss_rst: 0.456083 loss_flow: 0.021951
2025-01-04 17:14:35 - root - INFO: - iter:[66/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.828436 loss_bce: 0.452564 loss_rst: 0.359585 loss_flow: 0.016286
2025-01-04 17:14:36 - root - INFO: - iter:[67/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.651545 loss_bce: 0.290127 loss_rst: 0.345697 loss_flow: 0.015721
2025-01-04 17:14:38 - root - INFO: - iter:[68/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.812116 loss_bce: 0.407477 loss_rst: 0.389309 loss_flow: 0.015330
2025-01-04 17:14:39 - root - INFO: - iter:[69/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.618731 loss_bce: 0.234065 loss_rst: 0.365871 loss_flow: 0.018794
2025-01-04 17:14:40 - root - INFO: - iter:[70/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.668317 loss_bce: 0.353384 loss_rst: 0.304890 loss_flow: 0.010043
2025-01-04 17:14:41 - root - INFO: - iter:[71/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.625882 loss_bce: 0.303676 loss_rst: 0.309019 loss_flow: 0.013186
2025-01-04 17:14:42 - root - INFO: - iter:[72/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.737439 loss_bce: 0.311260 loss_rst: 0.400611 loss_flow: 0.025568
2025-01-04 17:14:43 - root - INFO: - iter:[73/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.634468 loss_bce: 0.309197 loss_rst: 0.293603 loss_flow: 0.031667
2025-01-04 17:14:45 - root - INFO: - iter:[74/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.791037 loss_bce: 0.345764 loss_rst: 0.417393 loss_flow: 0.027880
2025-01-04 17:14:46 - root - INFO: - iter:[75/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.674042 loss_bce: 0.307531 loss_rst: 0.348901 loss_flow: 0.017610
2025-01-04 17:14:47 - root - INFO: - iter:[76/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.734484 loss_bce: 0.257632 loss_rst: 0.460639 loss_flow: 0.016212
2025-01-04 17:14:48 - root - INFO: - iter:[77/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.828027 loss_bce: 0.374223 loss_rst: 0.433079 loss_flow: 0.020725
2025-01-04 17:14:49 - root - INFO: - iter:[78/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.645318 loss_bce: 0.318004 loss_rst: 0.309450 loss_flow: 0.017864
2025-01-04 17:14:51 - root - INFO: - iter:[79/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.614476 loss_bce: 0.258643 loss_rst: 0.338575 loss_flow: 0.017258
