2024-12-07 16:47:22 - root - INFO: - iter:[39/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.242030 loss_bce: 0.576533 loss_rst: 0.655699 loss_flow: 0.007157 loss_conf: 0.002640
2024-12-07 16:47:25 - root - INFO: - iter:[40/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.926381 loss_bce: 0.269754 loss_rst: 0.652094 loss_flow: 0.002508 loss_conf: 0.002025
2024-12-07 16:47:28 - root - INFO: - iter:[41/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.921937 loss_bce: 0.246327 loss_rst: 0.664156 loss_flow: 0.009327 loss_conf: 0.002127
2024-12-07 16:47:31 - root - INFO: - iter:[42/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.057233 loss_bce: 0.384941 loss_rst: 0.661195 loss_flow: 0.009655 loss_conf: 0.001444
2024-12-07 16:47:34 - root - INFO: - iter:[43/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.989063 loss_bce: 0.333827 loss_rst: 0.650636 loss_flow: 0.003401 loss_conf: 0.001199
2024-12-07 16:47:37 - root - INFO: - iter:[44/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.948417 loss_bce: 0.324336 loss_rst: 0.614242 loss_flow: 0.007831 loss_conf: 0.002008
2024-12-07 16:47:40 - root - INFO: - iter:[45/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.990311 loss_bce: 0.310707 loss_rst: 0.660539 loss_flow: 0.017657 loss_conf: 0.001409
2024-12-07 16:47:43 - root - INFO: - iter:[46/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.094330 loss_bce: 0.425690 loss_rst: 0.655241 loss_flow: 0.011655 loss_conf: 0.001745
2024-12-07 16:47:46 - root - INFO: - iter:[47/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.986543 loss_bce: 0.348535 loss_rst: 0.630105 loss_flow: 0.005880 loss_conf: 0.002023
2024-12-07 16:47:50 - root - INFO: - iter:[48/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.075686 loss_bce: 0.426467 loss_rst: 0.629350 loss_flow: 0.017500 loss_conf: 0.002369
2024-12-07 16:47:53 - root - INFO: - iter:[49/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.888946 loss_bce: 0.250036 loss_rst: 0.628247 loss_flow: 0.009231 loss_conf: 0.001432
2024-12-07 16:47:56 - root - INFO: - iter:[50/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.069189 loss_bce: 0.476801 loss_rst: 0.587657 loss_flow: 0.003735 loss_conf: 0.000996
2024-12-07 16:47:59 - root - INFO: - iter:[51/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.907616 loss_bce: 0.263311 loss_rst: 0.625383 loss_flow: 0.017908 loss_conf: 0.001013
2024-12-07 16:48:03 - root - INFO: - iter:[52/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.961482 loss_bce: 0.354047 loss_rst: 0.587443 loss_flow: 0.018466 loss_conf: 0.001525
